C;Ursa Minor;16.76615597;82
3.75323428;42.57854437;3.50957839;47.99517199	
3.50957839;47.99517199;3.40537459;49.86124281
3.40537459;49.86124281;3.1508009;49.61350009
3.40537459;49.86124281;3.60815558;48.19270068	
3.60815558;48.19270068;3.71541169;47.7876533	
3.71541169;47.7876533;4.14435368;47.71259359	
4.14435368;47.71259359;4.24829381;48.40937312	
4.24829381;48.40937312;4.30404874;50.29563944
4.30404874;50.29563944;4.10973758;50.35135022	
3.40537459;49.86124281;3.07994173;53.50645031	
3.07994173;53.50645031;2.84494243;55.89552955	
3.07994173;53.50645031;2.90429513;52.76248991	
2.84494243;55.89552955;2.90429513;52.76248991	
2.90429513;52.76248991;3.1508009;49.61350009	
3.1508009;49.61350009;2.73657999;49.22866639	
2.73657999;49.22866639;1.72767091;50.6887655	
3.1508009;49.61350009;3.1582303;44.85788896	
3.1582303;44.85788896;3.13614714;40.9556512	
3.13614714;40.9556512;3.08624916;38.84053298	
3.08624916;38.84053298;2.84303172;38.31890838
C;Triangulum;2;33.3
1.88469439;29.57939727;2.28856547;33.84732099	
2.28856547;33.84732099;2.15903358;34.98739204	
2.15903358;34.98739204;1.88469439;29.57939727
C;Aries;2.5;23.5
1.91065251;20.80829949;2.11952383;23.46277743	
1.91065251;20.80829949;1.96549317;23.5960961	
1.96549317;23.5960961;2.11952383;23.46277743	
2.11952383;23.46277743;2.21332884;21.21098318	
2.21332884;21.21098318;1.892157;19.29409264	
2.21332884;21.21098318;2.98687051;21.34044477	
2.98687051;21.34044477;3.19379712;19.72669777	
2.98687051;21.34044477;2.8330526;27.26079044	
2.8330526;27.26079044;2.79845596;29.24742385	
2.8330526;27.26079044;2.72419735;27.70717078	
2.79845596;29.24742385;2.72419735;27.70717078	
2.72419735;27.70717078;2.11952383;23.46277743
C;Pisces;1.5;8
1.19432964;30.08972962;0.9639301;28.9922356	
1.19432964;30.08972962;1.22914867;24.58376482	
0.9639301;28.9922356;1.22914867;24.58376482	
1.22914867;24.58376482;1.52472051;15.34583101	
1.52472051;15.34583101;1.75655241;9.15764102	
1.75655241;9.15764102;2.03411128;2.76376048	
2.03411128;2.76376048;1.69052987;5.48760445	
1.69052987;5.48760445;1.04907107;7.89007256	
1.04907107;7.89007256;0.81135982;7.58520186	
0.81135982;7.58520186;23.98850066;6.86359373	
23.98850066;6.86359373;23.66578342;5.62735374
23.66578342;5.62735374;23.77320469;3.48687164	
23.77320469;3.48687164;23.70080049;1.7804172	
23.70080049;1.7804172;23.44886258;1.25583758	
23.44886258;1.25583758;23.28597045;3.28224524	
23.28597045;3.28224524;23.33903807;5.38145156	
23.33903807;5.38145156;23.46615772;6.37909727	
23.46615772;6.37909727;23.66578342;5.62735374
C;Andromeda;0.7;39.5
2.06497752;42.32984832;1.67633449;40.57710624	
1.67633449;40.57710624;1.16216599;35.62083048
1.16216599;35.62083048;0.94586046;38.49925513	
0.94586046;38.49925513;0.83023048;41.07895474	
0.83023048;41.07895474;1.15836727;47.2418241	
1.15836727;47.2418241;1.6331951;48.62848641	
1.16216599;35.62083048;0.65544371;30.86122579
0.65544371;30.86122579;0.13976888;29.09082805	
0.65544371;30.86122579;0.61467749;33.71935227	
0.65544371;30.86122579;0.64263868;29.312369	
1.16216599;35.62083048;0.61467749;33.71935227
0.64263868;29.312369;0.78899727;24.26737703	
0.78899727;24.26737703;0.91611663;23.62844595	
0.61467749;33.71935227;0.3054737;36.7853273	
0.3054737;36.7853273;23.63560531;43.2680761
23.63560531;43.2680761;23.03201291;42.32597866	
23.63560531;43.2680761;23.67345605;44.33397776	
23.67345605;44.33397776;23.62602991;46.45917621
C;Lacerta;22.5;46.5
