Mu  For;;2.21512779;-30.72384252;5.27;A0V
65Xi 1Cet;;2.21666971;8.8467523;4.36;G8II:
;;2.2169312;-21.0002366;5.86;K0III
19    Ari;;2.21756812;15.27991044;5.72;M0III
60    And;;2.22037244;44.23168903;4.84;K4III
;;2.22667214;51.06623342;5.31;G8III:var
Pi 1Hyi;;2.23736186;-67.84155199;5.57;M1III
;;2.24221158;-41.16670109;5.91;G9III
Pi 2Hyi;;2.25793289;-67.74633515;5.67;K2III
21    Ari;;2.26189844;25.0432553;5.57;F6V
20    Ari;;2.26275994;25.78309877;5.79;F6IV-V
7    Tri;;2.26563753;33.35897589;5.25;A0V
Phi Eri;;2.27513896;-51.51211145;3.56;B8IV-V
67    Cet;;2.28305263;-6.4218563;5.51;G8III
8Del Tri;;2.28400489;34.22482985;4.84;G0V
9Gam Tri;;2.28856547;33.84732099;4.03;A1Vnn
8    Per;;2.29995026;57.89980835;5.75;K3III
;;2.30034063;1.75689975;5.6;G0.5IV
7    Per;;2.30127764;57.51632574;5.99;G7III
22The Ari;;2.30209622;19.90116135;5.58;A1Vn
10    Tri;;2.31583022;28.64267411;5.29;A2V
62    And;;2.32134656;47.37998782;5.31;A1V
;;2.33173519;-55.94484169;5.81;K5III
63    And;;2.34949247;50.15154156;5.57;B9p Si
Del Hyi;;2.36250639;-68.6594239;4.08;A3V
69    Cet;;2.36573195;0.39569203;5.29;M2III
;;2.36706682;-10.77733458;5.43;F0V
;;2.36804921;-17.66202807;5.89;K2III
70    Cet;;2.37011301;-0.88474037;5.42;F0Vn
9    Per;;2.37262059;55.84565637;5.16;A2Ia
Kap For;;2.37567248;-23.81631542;5.19;G2V
;;2.38065612;41.39653472;5.81;F0III-IV
Kap Hyi;;2.38124281;-73.64582097;5.99;K0III
;;2.38184843;-51.09228926;5.9;A5V
64    And;;2.40691499;50.00663318;5.19;G8III
24Xi  Ari;;2.41362352;10.61059804;5.48;B7IV
Lam Hor;;2.41499846;-60.31162902;5.36;F2III
65    And;;2.42705582;50.27866588;4.73;K4III
72Rho Cet;;2.4325034;-12.290452;4.88;A0V
;;2.43343779;-15.34111517;5.88;Ap SrCrEu
;;2.44310114;-20.04286354;5.89;K2III
Kap Eri;;2.44975138;-47.70382692;4.24;B5IV
11    Tri;;2.4577189;31.80134872;5.55;K1III:
Phi For;;2.46713611;-33.81105246;5.13;A2/A3V
73Xi 2Cet;;2.46931052;8.4600887;4.3;B9III
12    Tri;;2.46944176;29.66953828;5.29;F0III
13    Tri;;2.48014962;29.93158402;5.89;G0V
Iot Cas;;2.48444116;67.40238385;4.46;A5p Sr
;;2.50897615;25.23521368;5.88;F6IV
;;2.51256482;0.25587583;6;A7III-IVs
;;2.52502287;2.26720689;5.27;K3III
Mu  Hyi;;2.52781132;-79.10924959;5.27;G4III
1Alp UMi;Polaris;2.52974312;89.26413805;1.97;F7:Ib-IIv SB
76Sig Cet;;2.53479923;-15.2443199;4.74;F5V
14    Tri;;2.53503775;36.14723132;5.15;K5III
75    Cet;;2.53595453;-1.03481751;5.36;G3III:
;;2.54796056;34.54245642;5.84;K0III
29    Ari;;2.54837496;15.03446457;6;F8V
Lam1For;;2.55195525;-34.64992327;5.91;K0/K1III
Ome For;;2.56408677;-28.2323401;4.96;B9V
77    Cet;;2.57849712;-7.8592885;5.74;K4III
;;2.59409508;37.3122905;5.72;K4III
15    Tri;;2.59633263;34.68768289;5.38;M3III
78Nu  Cet;;2.59791361;5.59330163;4.87;G8III
80    Cet;;2.60001891;-7.83145306;5.53;M0III
;268 G. Cet;2.60106457;6.88336423;5.79;K3V
Iot1For;;2.60257679;-30.04496366;5.74;G8/K0III
;;2.60975102;7.73007761;5.81;K0III:
31    Ari;;2.61048574;12.44784628;5.64;F7V
;;2.61585531;38.73398283;5.91;F5V
Lam2For;;2.61628357;-34.57734519;5.78;G1V
Eta Hor;;2.6234069;-52.54308845;5.3;A6V
;;2.62666855;65.74535775;5.8;K5III
81    Cet;;2.62827153;-3.39606767;5.65;G5III:
;;2.63391336;72.81821481;5.17;G8III
Iot2For;;2.63849879;-30.19388274;5.84;F5V
